Cluster,User_Share_Percent,Avg_Sessions_Per_Month,Avg_Distance_Per_Month,Avg_App_Usage_Score,Loan_Taken_Percent,High_Default_Risk_Percent,Avg_Efficiency_Index,Avg_Charge_Cost,Avg_Missed_Payments,Not_Working_Charger_Percent,Low_Income_Percent,Segment_Label
0,86.38,19.59,1400.35,5.52,40.73,37.34,96.84,450.72,2.5,1.83,35.15,Efficient low-risk users
1,13.62,18.92,1397.34,5.45,41.45,89.26,29.38,446.77,2.44,98.88,33.42,Infrastructure-stressed users
